var,scenario,varBinaryOriginal,varTypeTrans,varStatus,varMayRoundUp,varMayRoundDown,varMayIsActive,varIsDeletable,varIsRemovable,varObj,varPseudoSol,NLocksDown,NLocksUp,IsTransformed,multaggrConstant,varAggrScalar,varAggrConstant,varMultaggrNVars,varBestBound,varWorstBound,varBranchFactor,varBranchPriority,varBranchDirection,varNImpls0,varNImpls1,varGetNCliques0,varGetNCliques1,varConflictScore,varAvgInferenceScore,relaxSolVal,varImplRedcost0,varImplRedcost1,varPseudocostScore,equalToLb,equalToUb,target
x98,1664186741,1,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,1.00E+99,1.00E+99,1,1,0,1
x99,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,6,0,2,1,1.00E-12,27.5,0,1.00E+99,1.00E+99,1,1,0,1
x100,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x101,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x102,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x103,1664186741,1,0,1,0,0,1,0,0,0,0,9,12,1,0,0,0,0,0,1,1,0,3,5,1,0,0,1.00E-12,5,0,1.00E+99,1.00E+99,1,1,0,0
x104,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,4,0,0,0,1.00E-12,4.00E-06,0,1.00E+99,1.00E+99,1,1,0,0
x105,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x106,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x107,1664186741,1,0,1,0,0,1,0,0,0,0,9,12,1,0,0,0,0,0,1,1,0,3,6,0,0,0,1.00E-12,6.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x108,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x109,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x110,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x111,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x112,1664186741,1,0,1,0,0,1,0,0,0,0,9,12,1,0,0,0,0,0,1,1,0,3,5,0,0,0,1.00E-12,5.00E-06,0,1.00E+99,1.00E+99,1,1,0,0
x113,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,4,0,0,0,1.00E-12,4.00E-06,0,1.00E+99,1.00E+99,1,1,0,0
x114,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x115,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x116,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x117,1664186741,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
